EDGE_ID,GridNo,Split_SequenceNum,CentroidX,CentroidY
16358402,4429,3,77.050603,28.73415
16358402,4429,4,77.050604,28.734226
16358403,4429,0,77.049047,28.73367
16358403,4429,1,77.049154,28.733669
16358403,4429,2,77.049153,28.733586
16358403,4429,3,77.049047,28.733586
16358403,4429,4,77.049047,28.73367
16358404,4429,0,77.04982,28.733014
16358404,4429,1,77.049821,28.732933
16358404,4429,2,77.049738,28.732931
16358404,4429,3,77.049737,28.732962
16358404,4429,4,77.049754,28.732962
16358404,4429,5,77.049753,28.733012
16358404,4429,6,77.04982,28.733014
16358405,4429,0,77.050721,28.733082
16358405,4429,1,77.050898,28.733082
16358405,4429,2,77.050898,28.733007
16358405,4429,3,77.050721,28.733007
16358405,4429,4,77.050721,28.733082
16358406,4429,0,77.051448,28.732722
16358406,4429,1,77.051502,28.732722
16358406,4429,2,77.051501,28.732669
16358406,4429,3,77.051447,28.732669
16358406,4429,4,77.051448,28.732722
16358407,4429,0,77.046712,28.734305
16358407,4429,1,77.046759,28.734305
16358407,4429,2,77.046759,28.734298
16358407,4429,3,77.046796,28.734297
16358407,4429,4,77.046796,28.734276
16358407,4429,5,77.046818,28.734276
16358407,4429,6,77.046817,28.734186
16358407,4429,7,77.046721,28.734186
16358407,4429,8,77.046721,28.734266
16358407,4429,9,77.046712,28.734266
16358407,4429,10,77.046712,28.734305
16358408,4429,0,77.04901,28.731585
16358408,4429,1,77.049176,28.731582
16358408,4429,2,77.049174,28.731442
16358408,4429,3,77.049141,28.731442
16358408,4429,4,77.04914,28.731418
16358408,4429,5,77.049008,28.731419
16358408,4429,6,77.04901,28.731585
16358409,4429,0,77.049578,28.731501
16358409,4429,1,77.049473,28.731502
16358409,4429,2,77.049474,28.731585
16358409,4429,3,77.049579,28.731583
16358409,4429,4,77.049578,28.731501
16358410,4429,0,77.049577,28.731487
16358410,4429,1,77.049576,28.731399
16358410,4429,2,77.049437,28.731401
16358410,4429,3,77.049438,28.73149
16358410,4429,4,77.049577,28.731487
16358411,4429,0,77.050071,28.731574
16358411,4429,1,77.050072,28.731406
16358411,4429,2,77.050049,28.731406
16358411,4429,3,77.050049,28.731396
16358411,4429,4,77.049983,28.731396
16358411,4429,5,77.049982,28.731573
16358411,4429,6,77.050071,28.731574
16358412,4429,0,77.050078,28.731519
16358412,4429,1,77.050182,28.73152
16358412,4429,2,77.050182,28.731484
16358412,4429,3,77.050079,28.731482
16358412,4429,4,77.050078,28.731519
16358413,4429,0,77.05071,28.732342
16358413,4429,1,77.050807,28.73234
16358413,4429,2,77.050804,28.732254
16358413,4429,3,77.050709,28.732256
16358413,4429,4,77.05071,28.732342
16358414,4429,0,77.050757,28.73242
16358414,4429,1,77.050758,28.73235
16358414,4429,2,77.05071,28.73235
16358414,4429,3,77.05071,28.73242
16358414,4429,4,77.050757,28.73242
16358415,4429,0,77.05081,28.732252
16358415,4429,1,77.050813,28.732338
16358415,4429,2,77.050883,28.732337
16358415,4429,3,77.050882,28.732251
16358415,4429,4,77.05081,28.732252
16358416,4429,0,77.051193,28.732003
16358416,4429,1,77.051375,28.731999
16358416,4429,2,77.051373,28.731937
16358416,4429,3,77.051192,28.73194
16358416,4429,4,77.051193,28.732003
16358417,4429,0,77.05137,28.731923
16358417,4429,1,77.05137,28.731833
16358417,4429,2,77.051183,28.731833
16358417,4429,3,77.051183,28.731923
16358417,4429,4,77.05137,28.731923
16358418,4429,0,77.052179,28.732741
16358418,4429,1,77.052468,28.732735
16358418,4429,2,77.052467,28.732674
16358418,4429,3,77.052178,28.732679
16358418,4429,4,77.052179,28.732741
16358419,4429,0,77.052549,28.732812
16358419,4429,1,77.052707,28.732806
16358419,4429,2,77.052702,28.73265
16358419,4429,3,77.052543,28.732656
16358419,4429,4,77.052549,28.732812
16358420,4429,0,77.053049,28.731973
16358420,4429,1,77.05311,28.731971
16358420,4429,2,77.053108,28.731899
16358420,4429,3,77.053047,28.7319
16358420,4429,4,77.053049,28.731973
16358421,4429,0,77.053116,28.731917
16358421,4429,1,77.053261,28.731915
16358421,4429,2,77.05326,28.731826
16358421,4429,3,77.053115,28.731828
16358421,4429,4,77.053116,28.731917
16358422,4429,0,77.051724,28.731798
16358422,4429,1,77.051724,28.731692
16358422,4429,2,77.051623,28.731691
16358422,4429,3,77.051623,28.731728
16358422,4429,4,77.051616,28.731728
16358422,4429,5,77.051615,28.731762
16358422,4429,6,77.051626,28.731762
16358422,4429,7,77.051626,28.731797
16358422,4429,8,77.051724,28.731798
16358423,4429,0,77.053625,28.73071
16358423,4429,1,77.053873,28.730703
16358423,4429,2,77.053871,28.730634
16358423,4429,3,77.053623,28.730641
16358423,4429,4,77.053625,28.73071
16358424,4429,0,77.053627,28.73081
16358424,4429,1,77.053874,28.730809
16358424,4429,2,77.053873,28.73072
16358424,4429,3,77.053626,28.730721
16358424,4429,4,77.053627,28.73081
16358425,4429,0,77.053046,28.731781
16358425,4429,1,77.053245,28.731778
16358425,4429,2,77.053244,28.731687
16358425,4429,3,77.053045,28.73169
16358425,4429,4,77.053046,28.731781
16358426,4429,0,77.052515,28.731433
16358426,4429,1,77.052708,28.731428
16358426,4429,2,77.052704,28.731265
16358426,4429,3,77.05251,28.731271
16358426,4429,4,77.052515,28.731433
16358427,4429,0,77.051796,28.731394
16358427,4429,1,77.051795,28.731343
16358427,4429,2,77.051607,28.731345
16358427,4429,3,77.051608,28.731396
16358427,4429,4,77.051796,28.731394
16358428,4429,0,77.05143,28.731142
16358428,4429,1,77.051637,28.731137
16358428,4429,2,77.051636,28.731092
16358428,4429,3,77.051429,28.731098
16358428,4429,4,77.05143,28.731142
16358429,4429,0,77.051646,28.731087
16358429,4429,1,77.051741,28.731084
